location,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,positive_rate,total_vaccinations,total_vaccinations_per_hundred
Afghanistan,153148,7116,3844.517,178.635,,,
Africa,7767686,195499,5655.451,142.338,,102207774,7.44
Albania,145333,2495,50586.961,868.45,,1458048,50.75
Algeria,195574,5240,4383.433,117.445,,,
Andorra,15032,130,194327.378,1680.585,0.026,,
Angola,47331,1210,1394.812,35.658,,,
Anguilla,,,,,,,
Antigua and Barbuda,1713,44,17350.701,445.669,,74637,75.6
Argentina,5178889,111607,113557.626,2447.209,0.05,41930538,91.94
Armenia,241611,4830,81401.813,1627.288,0.082,,
Aruba,,,,,,147653,137.74
Asia,69871261,1034860,14934.719,221.197,,3521152971,75.26
Australia,53868,1006,2088.861,39.01,0.005,19329147,74.95
Austria,687076,10782,75978.163,1192.294,0.004,10498444,116.09
Azerbaijan,421103,5592,41190.339,546.983,0.218,6689031,65.43
Bahamas,18139,354,45700.076,891.881,,,
Bahrain,272453,1388,155839.261,793.916,0.005,2485464,142.17
Bangladesh,1497261,26109,9003.184,156.996,0.136,,
Barbados,4931,49,17138.905,170.312,,204266,71
Belarus,480364,3768,50870.567,399.031,0.083,,
Belgium,1182810,25374,101682.947,2181.334,0.054,16225302,139.48
Belize,16220,359,40057.79,886.606,0.05,237507,58.66
Benin,13366,128,1073.485,10.28,,,
Bermuda,,,,,,,
Bhutan,2595,3,3327.35,3.847,,1045074,134
Bolivia,490467,18429,41449.307,1557.433,0.074,5950132,50.28
Bonaire Sint Eustatius and Saba,,,,,,,
Bosnia and Herzegovina,213379,9792,65384.305,3000.497,0.199,,
Botswana,156927,2261,65461.531,943.168,0.331,,
Brazil,20752281,579574,96976.248,2708.373,,191515901,89.5
British Virgin Islands,,,,,,,
Brunei,2641,8,5981.446,18.119,,,
Bulgaria,453689,18840,65783.92,2731.759,0.068,2299118,33.34
Burkina Faso,13768,171,640.459,7.955,,,
Burundi,11994,38,978.668,3.101,,,
Cambodia,92616,1892,5465.217,111.646,,18912634,111.6
Cameroon,83425,1350,3064.362,49.588,,428255,1.57
Canada,1504157,26972,39512.463,708.523,0.042,53415585,140.32
Cape Verde,35283,310,62792.2,551.699,,,
Cayman Islands,,,,,,,
Central African Republic,11270,99,2290.656,20.122,,,
Chad,4991,174,295.064,10.287,,55598,0.33
Chile,1638330,36923,85274.783,1921.836,0.011,28848907,150.16
China,94942,4636,65.739,3.21,,2055966000,142.36
Colombia,4907264,124883,95721.906,2435.989,0.056,35355619,68.97
Comoros,4065,147,4575.353,165.456,,,
Congo,13588,183,2401.973,32.349,,,
Cook Islands,,,,,,,
Costa Rica,461145,5492,89733.459,1068.679,0.227,4278505,83.25
Cote d'Ivoire,55518,436,2052.146,16.116,0.06,1327485,4.91
Croatia,373330,8331,91465.304,2041.083,0.055,3264851,79.99
Cuba,646513,5219,57125.082,461.144,,13922868,123.02
Curacao,,,,,,182257,110.6
Cyprus,114999,508,128346.382,566.961,0.006,1094400,122.14
Czechia,1678944,30402,156551.42,2834.803,0.002,11481685,107.06
Democratic Republic of Congo,54863,1059,593.897,11.464,,,
Denmark,346183,2582,59550.149,444.154,0.013,8554014,147.15
Djibouti,11747,157,11721.248,156.656,,,
Dominica,1638,4,22695.782,55.423,,,
Dominican Republic,350017,4007,31954.185,365.812,0.098,11111548,101.44
Ecuador,501201,32244,28018.097,1802.501,0.156,19296406,107.87
Egypt,288162,16727,2763.923,160.438,,,
El Salvador,94060,2909,14429.7,446.268,,6207894,95.24
Equatorial Guinea,9326,124,6432.208,85.524,0.064,,
Eritrea,6642,38,1844.251,10.551,,,
Estonia,141599,1291,106852.009,974.201,0.078,1267023,95.61
Eswatini,43054,1094,36723.932,933.153,,,
Ethiopia,306810,4660,2602.815,39.533,0.166,2451758,2.08
Europe,55982321,1175102,74746.446,1568.972,,743322157,99.25
European Union,36733785,754246,82143.59,1686.635,,530798263,118.7
Faeroe Islands,,,,,,70940,144.62
Fiji,46211,489,51180.697,541.589,,,
Finland,126565,1024,22811.241,184.559,0.023,,
France,6834998,114778,101162.936,1698.798,0.026,87751146,129.88
French Polynesia,,,,,,,
Gabon,25819,165,11329.942,72.406,0.004,,
Gambia,9698,319,3899.576,128.27,0.099,,
Georgia,545033,7329,136950.776,1841.562,0.114,,
Germany,3947035,92208,47044.253,1099.016,,101834202,121.38
Ghana,118266,1017,3727.011,32.05,0.077,,
Gibraltar,,,,,,,
Greece,583658,13656,56279.263,1316.781,0.034,11376741,109.7
Greenland,,,,,,72589,127.64
Grenada,357,1,3158.873,8.848,,,
Guatemala,465799,11886,25523.417,651.292,0.617,4508175,24.7
Guernsey,,,,,,,
Guinea,29400,335,2178.224,24.82,,1199686,8.89
Guinea-Bissau,5766,117,2860.843,58.05,,,
Guyana,25403,613,32142.31,775.626,,472188,59.75
Haiti,20850,584,1806.496,50.599,,,
High income,91167919,1603409,75039.633,1319.754,,1398559309,115.11
Honduras,338757,8850,33663.639,879.46,,,
Hong Kong,12110,212,1603.379,28.069,,7527201,99.66
Hungary,812227,30057,84306.969,3119.835,0.014,,
Iceland,10705,33,31177.19,96.109,,,
India,32768880,438560,23517.057,314.739,0.023,639305611,45.88
Indonesia,4079267,132491,14760.604,479.411,0.115,98149666,35.51
International,721,15,,,,,
Iran,4960744,107151,58341.954,1260.174,0.305,27057253,31.82
Iraq,1881213,20764,45683.406,504.233,0.179,3368843,8.18
Ireland,351065,5092,70453.896,1021.894,0.088,6863572,137.74
Isle of Man,,,,,,,
Israel,1061488,7043,114249.058,758.045,0.066,13647819,146.89
Italy,4534499,129146,75114.941,2139.331,0.028,77708441,128.73
Jamaica,67402,1510,22667.853,507.826,0.362,,
Japan,1476653,16001,11714.746,126.941,0.16,128759863,102.15
Jersey,,,,,,,
Jordan,796259,10398,77539.906,1012.56,0.029,,
Kazakhstan,859203,12936,45233.214,681.023,,11950047,62.91
Kenya,235298,4720,4279.258,85.84,,2752266,5.01
Kiribati,2,,16.476,,,,
Kosovo,143603,2477,80580.097,1389.922,0.165,808078,45.34
Kuwait,409736,2418,94658.885,558.616,0.015,,
Kyrgyzstan,175589,2524,26490.617,380.789,,1125963,16.99
Laos,14816,14,2007.763,1.897,,4205037,56.98
Latvia,142400,2573,76274.791,1378.195,0.008,1471144,78.8
Lebanon,601226,8048,88818.524,1188.923,,2435581,35.98
Lesotho,14395,403,6667.232,186.655,,,
Liberia,5594,245,1079.879,47.295,,,
Libya,307471,4213,44186.149,605.443,,,
Liechtenstein,3385,58,88487.478,1516.181,0.028,43140,112.77
Lithuania,298165,4547,110847.694,1690.421,0.05,2988945,111.12
Low income,1220687,31875,1835.208,47.922,,16069394,2.42
Lower middle income,56196380,990387,16872.483,297.355,,1078458212,32.38
Luxembourg,75672,830,119203.42,1307.47,0.02,766836,120.8
Macao,,,,,,598356,90.88
Madagascar,42862,955,1507.774,33.594,0.003,,
Malawi,60386,2168,3073.442,110.344,,878138,4.47
Malaysia,1725357,16382,52640.552,499.814,0.145,35185344,107.35
Maldives,80960,226,148927.56,415.732,0.023,685802,126.15
Mali,14873,539,713.138,25.844,,,
Malta,36123,440,69992.25,852.548,0.013,796333,154.3
Marshall Islands,4,,67.094,,,,
Mauritania,33432,711,7001.305,148.897,,,
Mauritius,10196,29,8006.735,22.773,,,
Mexico,3341264,258491,25650.292,1984.39,0.381,84549082,64.91
Micronesia (country),1,,8.602,,,,
Moldova,267204,6397,66402.172,1589.702,0.075,,
Monaco,3188,33,80668.016,835.02,,,
Mongolia,213820,937,64224.058,281.442,,4327878,129.99
Montenegro,114787,1720,182767.005,2738.631,,392235,62.45
Montserrat,,,,,,,
Morocco,856049,12540,22922.851,335.79,0.183,,
Mozambique,146053,1853,4541.019,57.613,0.156,,
Myanmar,395883,15287,7223.35,278.929,0.128,,
Namibia,124900,3372,48273.442,1303.267,0.104,,
Nauru,,,,,,,
Nepal,761124,10730,25648.73,361.585,0.182,9713885,32.73
Netherlands,1973984,18348,114946.322,1068.416,,22953546,133.66
New Caledonia,,,,,,,
New Zealand,3520,26,687.151,5.076,0.002,3429166,66.94
Nicaragua,11167,199,1666.125,29.691,,,
Niger,5843,198,232.503,7.879,,,
Nigeria,191805,2455,907.305,11.613,0.065,,
North America,47039877,974815,78849.066,1634.002,,565610648,94.81
North Macedonia,175624,5901,84326.734,2833.394,0.129,,
Northern Cyprus,,,,,,,
Norway,158389,814,28979.098,148.931,0.044,6928603,126.77
Oceania,121473,1714,2810.577,39.658,,24350859,56.34
Oman,302239,4063,57862.769,777.849,,3752420,71.84
Pakistan,1160119,25788,5151.507,114.512,0.067,,
Palau,2,,110.047,,,,
Palestine,339816,3675,65064.499,703.651,0.187,1340889,25.67
Panama,457037,7054,104308.648,1609.92,0.062,4355184,99.4
Papua New Guinea,17838,192,1956.134,21.055,,,
Paraguay,458455,15742,63501.08,2180.441,0.032,4036572,55.91
Peru,2149591,198263,64437.311,5943.24,0.035,19023441,57.03
Philippines,1976202,33330,17796.101,300.143,0.246,,
Pitcairn,,,,,,,
Poland,2888385,75340,76418.367,1993.28,0.006,36232370,95.86
Portugal,1036019,17730,101890.917,1743.719,0.044,14731463,144.88
Qatar,232571,602,79361.575,205.424,,,
Romania,1097452,34539,57374.795,1805.699,0.026,9759206,51.02
Russia,6803323,179233,46626.199,1228.363,0.046,80012028,54.84
Rwanda,87131,1083,6562.791,81.573,0.032,,
Saint Kitts and Nevis,1053,3,19665.334,56.027,0.133,45980,85.87
Saint Lucia,8155,103,44224.272,558.565,,64523,34.99
Saint Vincent and the Grenadines,2336,12,20994.167,107.847,,,
Samoa,3,,14.989,,,,
San Marino,5321,90,156453.984,2646.281,,,
Sao Tome and Principe,2593,37,11608.854,165.649,,,
Saudi Arabia,543318,8512,15373.728,240.856,0.003,36837337,104.23
Senegal,72753,1760,4230.734,102.348,0.041,,
Serbia,759952,7278,110594.019,1059.15,0.167,5882966,85.61
Seychelles,19992,102,202123.142,1031.241,,,
Sierra Leone,6367,121,782.058,14.862,,,
Singapore,67459,55,12369.627,10.085,0.002,8876002,162.75
Sint Maarten (Dutch part),,,,,,,
Slovakia,779540,12548,142753.912,2297.863,0.01,4569853,83.69
Slovenia,266657,4449,128279.237,2140.256,0.18,1950397,93.83
Solomon Islands,20,,28.409,,,,
Somalia,17399,969,1063.541,59.232,,291053,1.78
South Africa,2770575,81830,46143.952,1362.879,0.187,12289478,20.47
South America,36849969,1129035,84856.9,2599.905,,361667288,83.28
South Korea,251421,2285,4900.499,44.537,0.044,43263253,84.33
South Sudan,11427,120,1004.009,10.544,,57150,0.5
Spain,4847298,84146,103696.141,1800.099,0.069,65673013,140.49
Sri Lanka,436081,8991,20285.379,418.238,0.379,19498407,90.7
Sudan,37708,2831,839.647,63.038,,,
Suriname,28967,718,48947.445,1213.252,,334856,56.58
Sweden,1123413,14685,110570.415,1445.351,0.036,,
Switzerland,776962,10895,89147.213,1250.073,0.105,9620837,110.39
Syria,27779,2007,1519.996,109.818,,403254,2.21
Taiwan,15991,834,670.341,34.961,0,10928720,45.81
Tajikistan,17217,125,1765.914,12.821,,,
Tanzania,1367,50,22.228,0.813,,,
Thailand,1190063,11399,17012.847,162.957,0.34,31771819,45.42
Timor,16515,64,12289.089,47.623,0.23,,
Togo,21261,185,2507.713,21.821,0.109,,
Tokelau,,,,,,,
Tonga,,,,,,,
Trinidad and Tobago,44606,1285,31784.827,915.65,0.14,902419,64.3
Tunisia,662752,23430,55526.567,1963.008,0.164,5683733,47.62
Turkey,6366408,56458,74861.279,663.878,0.065,93318338,109.73
Turks and Caicos Islands,,,,,,,
Tuvalu,,,,,,,
Uganda,119825,3006,2542.785,63.79,0.043,,
Ukraine,2382769,56934,54818.109,1309.827,0.102,9082122,20.89
United Arab Emirates,717374,2039,71801.425,204.082,0.003,18095160,181.11
United Kingdom,6789189,132808,99537.843,1947.128,0.042,90838594,133.18
United States,39182561,639428,117695.365,1920.694,0.098,375459559,113.09
Upper middle income,69047574,1885354,27468.8,750.04,,2825193479,112.39
Uruguay,384778,6029,110404.941,1729.91,0.012,5555504,159.4
Uzbekistan,155639,1075,4586.282,31.677,,14338693,42.25
Vanuatu,4,1,12.72,3.18,,,
Vatican,27,,33251.232,,,,
Venezuela,334343,4010,11647.574,139.697,,,
Vietnam,449489,11064,4578.734,112.704,0.042,19966724,20.34
Wallis and Futuna,,,,,,,
World,217634085,4511040,27636.195,572.833,,5318311697,67.53
Yemen,7829,1469,256.767,48.179,,,
Zambia,206145,3599,10895.235,190.215,0.035,575032,3.04
Zimbabwe,124581,4416,8254.677,292.602,0.048,4172657,27.65
